time,volume,x,y,z,u_x,u_y,u_z,omega_x,omega_y,omega_z,area
0.55612547,0.52224482,-6.248e-05,3.77837619,-3.553e-05,3.357e-05,0.89706734,0.00011724,-1.4e-06,-1.24e-06,1.55e-05,3.14895893
0.56391274,0.52224616,-6.226e-05,3.78538602,-3.478e-05,5.727e-05,0.90464815,0.00010614,-1.3e-06,-1.34e-06,1.475e-05,3.14958813
0.57170001,0.52224619,-6.193e-05,3.79245575,-3.402e-05,5.981e-05,0.91225583,0.00010726,4e-08,-1.41e-06,1.444e-05,3.15043757
0.57948729,0.52224627,-6.16e-05,3.79958463,-3.321e-05,4.388e-05,0.91967693,0.00011561,-2.7e-07,-1.73e-06,1.266e-05,3.15149218
0.58727456,0.52224666,-6.13e-05,3.80677228,-3.231e-05,5.5e-05,0.92731075,0.00010845,1.68e-06,-1.73e-06,1.242e-05,3.15195266
0.59506183,0.52224667,-6.092e-05,3.81401633,-3.138e-05,6.122e-05,0.93464737,0.00012374,2.61e-06,-1.36e-06,1.24e-05,3.15245688
0.6028491,0.52224683,-6.048e-05,3.82132038,-3.046e-05,5.347e-05,0.94227661,0.00011287,4.11e-06,-1.19e-06,1.094e-05,3.15359994
0.61063638,0.52224714,-6.001e-05,3.82868157,-2.956e-05,5.732e-05,0.94954714,0.00012044,3.96e-06,-1.07e-06,1.004e-05,3.15448351
0.61842365,0.52224739,-5.952e-05,3.83609939,-2.862e-05,6.355e-05,0.95673675,0.00012928,4.1e-06,-1.23e-06,9.26e-06,3.15547221
0.62621092,0.52224751,-5.902e-05,3.84357315,-2.764e-05,5.124e-05,0.96382106,0.00012347,6.83e-06,-1.37e-06,7.44e-06,3.15622192
0.63399819,0.52224732,-5.858e-05,3.85110259,-2.658e-05,5.5e-05,0.97105941,0.0001468,6.51e-06,-1.48e-06,7.92e-06,3.15753272
0.64178547,0.52224731,-5.82e-05,3.85868731,-2.547e-05,5.643e-05,0.97805028,0.00013865,7.8e-06,-2.03e-06,6.42e-06,3.15845408
0.64957274,0.52224749,-5.778e-05,3.8663274,-2.439e-05,4.632e-05,0.98531881,0.0001433,9.06e-06,-2.09e-06,5.22e-06,3.15936971
0.65736001,0.52224765,-5.742e-05,3.87402313,-2.325e-05,4.312e-05,0.99210137,0.00014109,8.67e-06,-1.88e-06,4.74e-06,3.16045731
0.66514728,0.5222479,-5.71e-05,3.88177113,-2.216e-05,3.813e-05,0.99906413,0.00015318,8.7e-06,-1.54e-06,5.94e-06,3.16172289
0.67293456,0.52224861,-5.686e-05,3.88957217,-2.102e-05,-1.59e-06,1.00599237,0.0001299,8.53e-06,-1.72e-06,9.02e-06,3.16235691
0.68072183,0.52224877,-5.67e-05,3.8974271,-1.994e-05,-6.8e-07,1.01284552,0.00011996,9.22e-06,-1.4e-06,5.85e-06,3.16297161
0.6885091,0.52224865,-5.665e-05,3.90533644,-1.883e-05,8.58e-06,1.01960801,0.00014627,8.28e-06,-1.26e-06,6.58e-06,3.16385289
0.69629637,0.52224885,-5.664e-05,3.91329805,-1.773e-05,-2.5e-06,1.02641458,0.00013674,9.2e-06,-8.2e-07,6.43e-06,3.16501631
0.70408365,0.52224923,-5.658e-05,3.92131356,-1.67e-05,-4.245e-05,1.03319051,0.00013122,1.186e-05,-6.4e-07,5.36e-06,3.16593718
0.71187092,0.52224963,-5.659e-05,3.9293802,-1.569e-05,-1.199e-05,1.03988263,0.00011341,1.778e-05,-4e-07,-2.39e-06,3.16672137
0.71965819,0.52224999,-5.662e-05,3.93750097,-1.478e-05,-1.003e-05,1.04664406,0.00010949,1.734e-05,-1.1e-07,-7e-07,3.16809124
0.72744546,0.52225054,-5.662e-05,3.94567294,-1.386e-05,-5.52e-06,1.05328863,0.00011468,1.763e-05,1.3e-07,-3.07e-06,3.16891945
0.73523274,0.52225098,-5.664e-05,3.95389725,-1.293e-05,-2.432e-05,1.0599273,0.00011557,1.884e-05,-2e-08,-2.44e-06,3.16998134
0.74302001,0.52225125,-5.673e-05,3.96217287,-1.205e-05,-2.331e-05,1.06663148,0.00011429,2.126e-05,-4.6e-07,-5.29e-06,3.17095246
0.75080728,0.52225137,-5.679e-05,3.97050056,-1.127e-05,-1.822e-05,1.07336629,9.45e-05,1.7e-05,-3.6e-07,-2.9e-06,3.17195005
0.75859455,0.52225186,-5.674e-05,3.97888132,-1.05e-05,-1.04e-05,1.08013896,8.739e-05,1.622e-05,-1.8e-07,-2.83e-06,3.17316773
0.76638183,0.52225218,-5.689e-05,3.98731438,-9.83e-06,-1.923e-05,1.08676853,9.208e-05,1.993e-05,1.3e-07,1.36e-06,3.17354772
